,Unnamed: 0,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_11,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_ANOM,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,INCOME_ANNUITY_DIFF,CREDIT_GOODS_RATIO,CREDIT_GOODS_DIFF,CREDIT_TERM,DAYS_EMPLOYED_RATIO,FLAG_CONTACTS_SUM,CNT_NON_CHILDREN,CHILDREN_INCOME_RATIO,PER_CAPITA_INCOME,FLAG_REGIONS,SUM_FLAGS_DOCUMENTS
11,11,100015,0,Cash loans,F,0,1,0,38419.155,148365.0,10678.5,135000.0,Children,Pensioner,1,Married,House / apartment,0.015221,-20417,,-5246.0,-2512,,1,0,0,1,1,0,XNA,2.0,2,2,4,7,0,0,0,0,0,0,XNA,0.7220444501416448,0.5551831615131809,0.6528965519806539,0.0,0.0,0.0,0.0,-2396.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,True,3.8617455267140186,0.2779472895023466,27740.655,1.0989999999185929,13365.00001,13.893805296723507,,3,2.0,0.0,12806.385,0,1
12,12,100016,0,Cash loans,F,0,1,0,67500.0,80865.0,5881.5,67500.0,Unaccompanied,Working,1,Married,House / apartment,0.031329,-13439,-2717.0,-311.0,-3227,,1,1,1,1,1,0,Laborers,2.0,2,2,4,10,0,0,0,0,0,0,Business Entity Type 2,0.4648311169632833,0.7150418188660659,0.1766525794312139,0.0,0.0,0.0,0.0,-2370.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,False,1.1979999998225184,0.08713333332042468,61618.5,1.1979999998225184,13365.00001,13.749043587946879,0.202172780863288,5,2.0,0.0,22500.0,0,1
13,13,100017,0,Cash loans,M,1,0,1,225000.0,918468.0,28966.5,697500.0,Unaccompanied,Working,1,Married,House / apartment,0.016612000000000002,-14086,-3028.0,-643.0,-4911,23.0,1,1,0,1,0,0,Drivers,3.0,2,2,3,13,0,0,0,0,0,0,Self-employed,,0.5669066132460429,0.7700870700124128,0.0,0.0,0.0,0.0,-4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,4.082079999818576,0.12873999999427824,196033.5,1.3167999999811213,220968.00001,31.70793846971227,0.21496521383995826,3,2.0,4.4444444442469135e-06,56250.0,0,1
14,14,100018,0,Cash loans,F,0,1,0,189000.0,773680.5,32778.0,679500.0,Unaccompanied,Working,1,Married,House / apartment,0.010006000000000001,-14583,-203.0,-615.0,-2056,,1,1,0,1,0,0,Laborers,2.0,2,1,0,9,0,0,0,0,0,0,Transport: type 2,0.7219397686622343,0.6426562048311103,,0.0,0.0,0.0,0.0,-188.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,4.093547618831029,0.17342857141939533,156222.0,1.1386026489898662,94180.50001,23.603651832447483,0.013920318188246806,3,2.0,0.0,63000.0,0,1
15,15,100019,0,Cash loans,M,1,1,0,157500.0,299772.0,20160.0,247500.0,Family,Working,1,Single / not married,Rented apartment,0.020713,-8728,-1157.0,-3494.0,-1368,17.0,1,1,0,1,0,0,Laborers,1.0,3,3,5,6,0,0,0,1,1,0,Business Entity Type 2,0.11563433726229973,0.34663398139668,0.6785676886853644,0.0,0.0,0.0,0.0,-925.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,1.9033142855934404,0.12799999999187306,137340.0,1.2111999999510628,52272.00001,14.869642849767047,0.1325618699960608,3,1.0,0.0,78750.0,2,1
16,16,100020,0,Cash loans,M,0,0,0,108000.0,509602.5,26149.5,387000.0,Unaccompanied,Working,1,Married,House / apartment,0.018634,-12931,-1317.0,-6392.0,-3866,,1,1,0,1,0,0,Drivers,2.0,2,2,3,12,0,0,0,1,1,0,Government,,0.2363778398884225,0.06210303783729682,0.0,0.0,0.0,0.0,-3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,False,4.718541666229765,0.24212499997758105,81850.5,1.316802325547369,122602.50000999999,19.48803991682899,0.1018482716741538,3,2.0,0.0,36000.0,2,1
17,17,100021,0,Revolving loans,F,0,1,1,81000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,1,Married,House / apartment,0.010966,-9776,-191.0,-4143.0,-2427,,1,1,0,1,0,0,Laborers,3.0,2,2,0,10,0,0,0,1,1,0,Construction,,0.6835133461914255,,4.0,0.0,4.0,0.0,-2811.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,3.3333333329218107,0.16666666664609053,67500.0,0.9999999999629628,1e-05,19.999999985185184,0.019537643227841288,3,2.0,1.2345679010821519e-05,20250.0,2,0
18,18,100022,0,Revolving loans,F,0,1,0,112500.0,157500.0,7875.0,157500.0,Other_A,Working,1,Widow,House / apartment,0.04622,-17718,-7804.0,-8751.0,-1259,,1,1,0,1,1,0,Laborers,1.0,1,1,4,13,0,0,0,0,0,0,Housing,,0.7064284028871654,0.5567274263630174,8.0,0.0,8.0,0.0,-239.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.3999999998755557,0.06999999999377778,104625.0,0.9999999999365079,1e-05,19.99999997460317,0.44045603366094144,4,1.0,0.0,56250.0,0,1
19,19,100023,0,Cash loans,F,0,1,1,90000.0,544491.0,17563.5,454500.0,Unaccompanied,State servant,3,Single / not married,House / apartment,0.015221,-11348,-2038.0,-1021.0,-3964,,1,1,1,1,1,0,Core staff,2.0,2,2,0,12,0,0,0,0,0,0,Kindergarten,,0.5866171400119664,0.4776491548517548,0.0,0.0,0.0,0.0,-1850.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False,6.0498999993277875,0.19514999997831667,72436.5,1.1979999999736413,89991.00001,31.00128104819581,0.1795911175357694,5,1.0,1.1111111109876542e-05,30000.0,0,1
20,20,100024,0,Revolving loans,M,1,1,0,135000.0,427500.0,21375.0,427500.0,Unaccompanied,Working,1,Married,House / apartment,0.015221,-18252,-4286.0,-298.0,-1800,7.0,1,1,0,1,0,0,Laborers,2.0,2,2,4,13,0,0,0,0,0,0,Self-employed,0.5656548824667073,0.11337451271992707,,0.0,0.0,0.0,0.0,-296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,3.1666666664320986,0.15833333332160496,113625.0,0.9999999999766082,1e-05,19.99999999064327,0.2348235811060835,3,2.0,0.0,45000.0,0,0
21,21,100025,0,Cash loans,F,1,1,1,202500.0,1132573.5,37561.5,927000.0,Unaccompanied,Commercial associate,1,Married,House / apartment,0.025164,-14815,-1652.0,-2299.0,-2299,14.0,1,1,0,1,0,0,Sales staff,3.0,2,2,0,9,0,0,0,0,0,0,Trade: type 7,0.43770901984754174,0.2337669575081463,0.5424451438613613,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,False,5.59295555527936,0.18548888887972892,164938.5,1.2217621359091504,205573.50001,30.152509875763077,0.11150860621769057,3,2.0,4.938271604694407e-06,50625.0,0,1
22,22,100026,0,Cash loans,F,0,0,1,450000.0,497520.0,32521.5,450000.0,Unaccompanied,Working,1,Married,Rented apartment,0.020713,-11146,-4306.0,-114.0,-2518,,1,1,0,1,0,0,Sales staff,3.0,3,2,3,6,0,0,0,0,0,0,Self-employed,,0.457142971588935,0.35895122857839673,0.0,0.0,0.0,0.0,-468.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,False,1.1055999999754311,0.072269999998394,417478.5,1.1055999999754311,47520.00001,15.298187348277853,0.3863269337756387,3,2.0,2.2222222221728388e-06,112500.0,0,1
23,23,100027,0,Cash loans,F,0,1,0,83250.0,239850.0,23850.0,225000.0,Unaccompanied,Pensioner,1,Married,House / apartment,0.006296,-24827,,-9012.0,-3684,,1,0,0,1,1,0,XNA,2.0,3,3,4,12,0,0,0,0,0,0,XNA,,0.6243047373592765,0.6690566947824041,0.0,0.0,0.0,0.0,-795.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,True,2.8810810807350054,0.2864864864520737,59400.0,1.0659999999526222,14850.00001,10.0566037693683,,3,2.0,0.0,27750.0,0,1
24,24,100029,0,Cash loans,M,1,0,2,135000.0,247500.0,12703.5,247500.0,Unaccompanied,Working,1,Married,House / apartment,0.026392000000000002,-11286,-746.0,-108.0,-3729,7.0,1,1,0,1,0,0,Drivers,4.0,2,2,3,14,0,0,0,0,1,1,Business Entity Type 3,,0.7861793090532118,0.5656079814115492,1.0,1.0,1.0,0.0,-4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.833333333197531,0.09409999999302963,122296.5,0.999999999959596,1e-05,19.48281968002297,0.06609959247394967,3,2.0,1.4814814813717426e-05,27000.0,2,1
25,25,100030,0,Cash loans,F,0,1,0,90000.0,225000.0,11074.5,225000.0,Unaccompanied,Working,1,Married,House / apartment,0.028663,-19334,-3494.0,-2419.0,-2893,,1,1,0,1,1,0,Cleaning staff,2.0,2,2,5,8,0,0,0,0,0,0,Business Entity Type 3,0.5619484093041138,0.6514056365297631,0.4614823912998385,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.4999999997222218,0.12304999998632778,78925.5,0.9999999999555556,1e-05,20.316944313226834,0.18071790637256535,4,2.0,0.0,30000.0,0,1
26,26,100031,1,Cash loans,F,0,1,0,112500.0,979992.0,27076.5,702000.0,Unaccompanied,Working,1,Widow,House / apartment,0.018029,-18724,-2628.0,-6573.0,-1827,,1,1,0,1,0,0,Cooking staff,1.0,3,2,0,9,0,0,0,0,0,0,Business Entity Type 3,,0.5484771599678789,0.190705947811054,10.0,1.0,10.0,0.0,-161.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,False,8.711039999225685,0.2406799999786062,85423.5,1.395999999980114,277992.00001,36.19345187295498,0.14035462515507086,3,1.0,0.0,56250.0,0,2
27,27,100032,0,Cash loans,M,0,1,1,112500.0,327024.0,23827.5,270000.0,Family,Working,1,Married,House / apartment,0.019101,-15948,-1234.0,-5782.0,-3153,,1,1,0,1,0,0,Laborers,3.0,2,2,5,10,0,0,0,0,1,1,Industry: type 11,,0.5411237022695412,0.6594055320683344,2.0,0.0,2.0,0.0,-2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.9068799997416104,0.21179999998117333,88672.5,1.2111999999551406,57024.00001,13.724645886591272,0.07737647358751973,3,2.0,8.888888888098766e-06,28125.0,2,1
28,28,100033,0,Cash loans,M,1,1,0,270000.0,790830.0,57676.5,675000.0,Unaccompanied,State servant,3,Single / not married,House / apartment,0.04622,-9994,-1796.0,-4668.0,-2661,1.0,1,1,0,1,0,1,XNA,1.0,1,1,2,11,0,1,1,0,0,0,Military,0.6003959050009468,0.6850109901296888,0.524496446363472,0.0,0.0,0.0,0.0,-849.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,False,2.928999999891518,0.21361666665875487,212323.5,1.1715999999826432,115830.00000999999,13.711476942305536,0.1797078248746326,4,1.0,0.0,135000.0,2,1
29,29,100034,0,Revolving loans,M,0,1,0,90000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,3,Single / not married,With parents,0.030755,-10341,-1010.0,-4799.0,-3015,,1,1,0,1,0,0,Laborers,1.0,2,2,1,16,0,0,0,0,0,0,Business Entity Type 3,0.2979135090150507,0.5027790378786304,,0.0,0.0,0.0,0.0,-599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,1.9999999997777775,0.09999999998888888,81000.0,0.9999999999444446,1e-05,19.999999977777783,0.09766947113206602,3,1.0,0.0,45000.0,0,0
30,30,100035,0,Cash loans,F,0,1,0,292500.0,665892.0,24592.5,477000.0,Unaccompanied,Commercial associate,1,Civil marriage,House / apartment,0.025164,-15280,-2668.0,-5266.0,-3787,,1,1,0,1,0,1,XNA,2.0,2,2,2,13,0,0,0,0,0,0,Business Entity Type 3,,0.479987342189869,0.4101025731788671,0.0,0.0,0.0,0.0,-1634.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0,False,2.2765538460760157,0.08407692307404865,267907.5,1.3959999999707338,188892.00001,27.077035670599965,0.17460732995720374,4,2.0,0.0,97500.0,0,1
31,31,100036,0,Cash loans,F,0,1,0,112500.0,512064.0,25033.5,360000.0,Family,Working,1,Civil marriage,House / apartment,0.008575,-11144,-1104.0,-7846.0,-2904,,1,1,0,1,0,0,Private service staff,2.0,2,2,1,12,0,0,0,0,0,0,Services,0.2744223724911185,0.6273004007953609,,2.0,0.0,2.0,0.0,-397.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0,False,4.551679999595407,0.22251999998022046,87466.5,1.4223999999604888,152064.00001,20.455150090696407,0.09906676247224223,3,2.0,0.0,37500.0,0,1
32,32,100037,0,Cash loans,F,0,0,0,90000.0,199008.0,20893.5,180000.0,Unaccompanied,Working,1,Civil marriage,House / apartment,0.010032,-12974,-4404.0,-7123.0,-4464,,1,1,1,1,0,0,Laborers,2.0,2,2,5,11,0,0,0,0,0,0,Business Entity Type 2,,0.5594667916353414,0.7981372313187245,0.0,0.0,0.0,0.0,-2766.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False,2.211199999754311,0.23214999997420555,69106.5,1.105599999938578,19008.00001,9.524876153097912,0.3394481272849145,4,2.0,0.0,30000.0,0,1
33,33,100039,0,Cash loans,M,1,0,1,360000.0,733315.5,39069.0,679500.0,Unaccompanied,Commercial associate,1,Married,House / apartment,0.015221,-11694,-2060.0,-3557.0,-3557,3.0,1,1,0,1,0,0,Drivers,3.0,2,2,3,10,0,0,0,1,1,0,Self-employed,,0.32174489566177183,0.41184855592423975,2.0,0.0,2.0,0.0,-697.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,False,2.0369874999434168,0.1085249999969854,320931.0,1.0791986754808065,53815.50001,18.76975350821117,0.1761587140210011,3,2.0,2.777777777700617e-06,90000.0,2,1
34,34,100040,0,Cash loans,F,0,1,0,135000.0,1125000.0,32895.0,1125000.0,Unaccompanied,State servant,3,Married,House / apartment,0.019688999999999998,-15997,-4585.0,-5735.0,-4067,,1,1,0,1,0,0,Core staff,2.0,2,2,4,14,0,0,0,0,0,0,Security Ministries,,0.17249750814777715,,0.0,0.0,0.0,0.0,-3019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,8.33333333271605,0.2436666666486173,102105.0,0.999999999991111,1e-05,34.19972639179215,0.2866162407242709,3,2.0,0.0,45000.0,0,1
35,35,100041,0,Cash loans,F,0,0,0,112500.0,450000.0,44509.5,450000.0,Unaccompanied,Working,3,Married,House / apartment,0.008575,-12158,-1275.0,-6265.0,-2009,,1,1,1,1,1,0,Sales staff,2.0,2,2,0,19,0,0,0,0,0,0,Self-employed,,0.6631580756296298,0.6785676886853644,0.0,0.0,0.0,0.0,-1285.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.999999999644445,0.39563999996483207,67990.5,0.9999999999777778,1e-05,10.110201190732267,0.10486922199775392,5,2.0,0.0,37500.0,0,1
